v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
92.1,,2012,2012,UK0,England,A,A,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,A,A,cvm,Chained volume measure,gra,Annual growth rate
85.5,,2012,2012,UK0,England,A--T,A--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
96.6,,2012,2012,UK0,England,B,B,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,B,B,cvm,Chained volume measure,gra,Annual growth rate
85,,2012,2012,UK0,England,B--E,B--E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
87.3,,2012,2012,UK0,England,C,C,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,C,C,cvm,Chained volume measure,gra,Annual growth rate
71.1,,2012,2012,UK0,England,D,D,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,D,D,cvm,Chained volume measure,gra,Annual growth rate
89.8,,2012,2012,UK0,England,E,E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,E,E,cvm,Chained volume measure,gra,Annual growth rate
85.7,,2012,2012,UK0,England,F,F,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,F,F,cvm,Chained volume measure,gra,Annual growth rate
91.4,,2012,2012,UK0,England,G,G,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,G,G,cvm,Chained volume measure,gra,Annual growth rate
85.5,,2012,2012,UK0,England,G--T,G--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
94.8,,2012,2012,UK0,England,H,H,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,H,H,cvm,Chained volume measure,gra,Annual growth rate
87.6,,2012,2012,UK0,England,I,I,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,I,I,cvm,Chained volume measure,gra,Annual growth rate
55.2,,2012,2012,UK0,England,J,J,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,J,J,cvm,Chained volume measure,gra,Annual growth rate
101.4,,2012,2012,UK0,England,K,K,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,K,K,cvm,Chained volume measure,gra,Annual growth rate
86.1,,2012,2012,UK0,England,L,L,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,L,L,cvm,Chained volume measure,gra,Annual growth rate
82.9,,2012,2012,UK0,England,M,M,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,M,M,cvm,Chained volume measure,gra,Annual growth rate
74.4,,2012,2012,UK0,England,N,N,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,N,N,cvm,Chained volume measure,gra,Annual growth rate
90.4,,2012,2012,UK0,England,O,O,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,O,O,cvm,Chained volume measure,gra,Annual growth rate
90,,2012,2012,UK0,England,P,P,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,P,P,cvm,Chained volume measure,gra,Annual growth rate
93.5,,2012,2012,UK0,England,Q,Q,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
88.8,,2012,2012,UK0,England,R,R,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,R,R,cvm,Chained volume measure,gra,Annual growth rate
83,,2012,2012,UK0,England,S,S,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,S,S,cvm,Chained volume measure,gra,Annual growth rate
68.6,,2012,2012,UK0,England,T,T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,T,T,cvm,Chained volume measure,gra,Annual growth rate
90.9,,2012,2012,UKC,North East,A,A,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,A,A,cvm,Chained volume measure,gra,Annual growth rate
91,,2012,2012,UKC,North East,A--T,A--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
197.7,,2012,2012,UKC,North East,B,B,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,B,B,cvm,Chained volume measure,gra,Annual growth rate
94.7,,2012,2012,UKC,North East,B--E,B--E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
89.2,,2012,2012,UKC,North East,C,C,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,C,C,cvm,Chained volume measure,gra,Annual growth rate
134.4,,2012,2012,UKC,North East,D,D,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,D,D,cvm,Chained volume measure,gra,Annual growth rate
93.6,,2012,2012,UKC,North East,E,E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,E,E,cvm,Chained volume measure,gra,Annual growth rate
93.3,,2012,2012,UKC,North East,F,F,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,F,F,cvm,Chained volume measure,gra,Annual growth rate
100.7,,2012,2012,UKC,North East,G,G,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,G,G,cvm,Chained volume measure,gra,Annual growth rate
89.9,,2012,2012,UKC,North East,G--T,G--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
99.6,,2012,2012,UKC,North East,H,H,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,H,H,cvm,Chained volume measure,gra,Annual growth rate
96.1,,2012,2012,UKC,North East,I,I,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,I,I,cvm,Chained volume measure,gra,Annual growth rate
34.7,,2012,2012,UKC,North East,J,J,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,J,J,cvm,Chained volume measure,gra,Annual growth rate
113.4,,2012,2012,UKC,North East,K,K,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,K,K,cvm,Chained volume measure,gra,Annual growth rate
90.6,,2012,2012,UKC,North East,L,L,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,L,L,cvm,Chained volume measure,gra,Annual growth rate
99.9,,2012,2012,UKC,North East,M,M,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,M,M,cvm,Chained volume measure,gra,Annual growth rate
78.6,,2012,2012,UKC,North East,N,N,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,N,N,cvm,Chained volume measure,gra,Annual growth rate
97.2,,2012,2012,UKC,North East,O,O,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,O,O,cvm,Chained volume measure,gra,Annual growth rate
95,,2012,2012,UKC,North East,P,P,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,P,P,cvm,Chained volume measure,gra,Annual growth rate
103.4,,2012,2012,UKC,North East,Q,Q,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
114.2,,2012,2012,UKC,North East,R,R,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,R,R,cvm,Chained volume measure,gra,Annual growth rate
76.6,,2012,2012,UKC,North East,S,S,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,S,S,cvm,Chained volume measure,gra,Annual growth rate
43.8,,2012,2012,UKC,North East,T,T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKC,North East,T,T,cvm,Chained volume measure,gra,Annual growth rate
92.3,,2012,2012,UKD,North West,A,A,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,A,A,cvm,Chained volume measure,gra,Annual growth rate
85.1,,2012,2012,UKD,North West,A--T,A--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
80.9,,2012,2012,UKD,North West,B,B,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,B,B,cvm,Chained volume measure,gra,Annual growth rate
82.6,,2012,2012,UKD,North West,B--E,B--E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
86.9,,2012,2012,UKD,North West,C,C,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,C,C,cvm,Chained volume measure,gra,Annual growth rate
56.3,,2012,2012,UKD,North West,D,D,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,D,D,cvm,Chained volume measure,gra,Annual growth rate
71.1,,2012,2012,UKD,North West,E,E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,E,E,cvm,Chained volume measure,gra,Annual growth rate
92.6,,2012,2012,UKD,North West,F,F,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,F,F,cvm,Chained volume measure,gra,Annual growth rate
86.4,,2012,2012,UKD,North West,G,G,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,G,G,cvm,Chained volume measure,gra,Annual growth rate
85.2,,2012,2012,UKD,North West,G--T,G--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
87.8,,2012,2012,UKD,North West,H,H,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,H,H,cvm,Chained volume measure,gra,Annual growth rate
91.1,,2012,2012,UKD,North West,I,I,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,I,I,cvm,Chained volume measure,gra,Annual growth rate
46,,2012,2012,UKD,North West,J,J,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UKD,North West,J,J,cvm,Chained volume measure,gra,Annual growth rate
