v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
90.9,,2012,2012,UK0,England,A,A,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,A,A,cvm,Chained volume measure,gra,Annual growth rate
85.5,,2012,2012,UK0,England,A--T,A--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
103.1,,2012,2012,UK0,England,B,B,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,B,B,cvm,Chained volume measure,gra,Annual growth rate
84.1,,2012,2012,UK0,England,B--E,B--E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
85.1,,2012,2012,UK0,England,C,C,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,C,C,cvm,Chained volume measure,gra,Annual growth rate
75,,2012,2012,UK0,England,D,D,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,D,D,cvm,Chained volume measure,gra,Annual growth rate
91,,2012,2012,UK0,England,E,E,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,E,E,cvm,Chained volume measure,gra,Annual growth rate
89,,2012,2012,UK0,England,F,F,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,F,F,cvm,Chained volume measure,gra,Annual growth rate
91,,2012,2012,UK0,England,G,G,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,G,G,cvm,Chained volume measure,gra,Annual growth rate
85.4,,2012,2012,UK0,England,G--T,G--T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
93.5,,2012,2012,UK0,England,H,H,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,H,H,cvm,Chained volume measure,gra,Annual growth rate
86.5,,2012,2012,UK0,England,I,I,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,I,I,cvm,Chained volume measure,gra,Annual growth rate
55.5,,2012,2012,UK0,England,J,J,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,J,J,cvm,Chained volume measure,gra,Annual growth rate
101.8,,2012,2012,UK0,England,K,K,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,K,K,cvm,Chained volume measure,gra,Annual growth rate
86.9,,2012,2012,UK0,England,L,L,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,L,L,cvm,Chained volume measure,gra,Annual growth rate
83.2,,2012,2012,UK0,England,M,M,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,M,M,cvm,Chained volume measure,gra,Annual growth rate
74.7,,2012,2012,UK0,England,N,N,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,N,N,cvm,Chained volume measure,gra,Annual growth rate
92.8,,2012,2012,UK0,England,O,O,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,O,O,cvm,Chained volume measure,gra,Annual growth rate
90.3,,2012,2012,UK0,England,P,P,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,P,P,cvm,Chained volume measure,gra,Annual growth rate
91.2,,2012,2012,UK0,England,Q,Q,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
84,,2012,2012,UK0,England,R,R,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,R,R,cvm,Chained volume measure,gra,Annual growth rate
83.1,,2012,2012,UK0,England,S,S,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,S,S,cvm,Chained volume measure,gra,Annual growth rate
68.1,,2012,2012,UK0,England,T,T,cvm,Chained volume measure,aix,Annual index
,.,2012,2012,UK0,England,T,T,cvm,Chained volume measure,gra,Annual growth rate
