v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
1.5,,c,0.4,2020,2020,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1420,,a,13,2020,2020,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,number,Number
0.4,,d,0.2,2020,2020,N92000002,Northern Ireland,other,Other,percentage,Percentage
1.8,,d,0.7,2020,2020,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
96.4,,a,0.9,2020,2020,N92000002,Northern Ireland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
6,,d,3,2020,2020,N92000002,Northern Ireland,bisexual,Bisexual,number,Number
0.4,,d,0.2,2020,2020,N92000002,Northern Ireland,bisexual,Bisexual,percentage,Percentage
15,,d,6,2020,2020,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,number,Number
6,,d,3,2020,2020,N92000002,Northern Ireland,other,Other,number,Number
1,,d,0.4,2020,2020,N92000002,Northern Ireland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
27,,d,11,2020,2020,N92000002,Northern Ireland,dont-know-or-refuse,Don't know or refuse,number,Number
1295,,a,88,2020,2020,E92000001,England,dont-know-or-refuse,Don't know or refuse,number,Number
93.3,,a,0.3,2020,2020,E92000001,England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.9,,a,0.2,2020,2020,E92000001,England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
825,,a,68,2020,2020,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
598,,b,69,2020,2020,E92000001,England,bisexual,Bisexual,number,Number
41990,,a,132,2020,2020,E92000001,England,heterosexual-or-straight,Heterosexual or straight,number,Number
1.3,,b,0.2,2020,2020,E92000001,England,bisexual,Bisexual,percentage,Percentage
0.6,,b,0.1,2020,2020,E92000001,England,other,Other,percentage,Percentage
286,,b,41,2020,2020,E92000001,England,other,Other,number,Number
1.8,,a,0.2,2020,2020,E92000001,England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
59,,c,18,2020,2020,E12000004,East Midlands,gay-or-lesbian,Gay or lesbian,number,Number
23,,d,10,2020,2020,E12000004,East Midlands,other,Other,number,Number
0.6,,d,0.3,2020,2020,E12000004,East Midlands,other,Other,percentage,Percentage
3663,,a,34,2020,2020,E12000004,East Midlands,heterosexual-or-straight,Heterosexual or straight,number,Number
1.9,,c,0.5,2020,2020,E12000004,East Midlands,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.5,,c,0.5,2020,2020,E12000004,East Midlands,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.3,,c,0.5,2020,2020,E12000004,East Midlands,bisexual,Bisexual,percentage,Percentage
50,,c,20,2020,2020,E12000004,East Midlands,bisexual,Bisexual,number,Number
74,,c,19,2020,2020,E12000004,East Midlands,dont-know-or-refuse,Don't know or refuse,number,Number
94.6,,a,0.9,2020,2020,E12000004,East Midlands,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
4442,,a,50,2020,2020,E12000005,West Midlands,heterosexual-or-straight,Heterosexual or straight,number,Number
2.1,,d,0.9,2020,2020,E12000005,West Midlands,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.3,,c,0.5,2020,2020,E12000005,West Midlands,bisexual,Bisexual,percentage,Percentage
70,,c,18,2020,2020,E12000005,West Midlands,gay-or-lesbian,Gay or lesbian,number,Number
59,,c,23,2020,2020,E12000005,West Midlands,bisexual,Bisexual,number,Number
98,,d,43,2020,2020,E12000005,West Midlands,dont-know-or-refuse,Don't know or refuse,number,Number
1.5,,c,0.4,2020,2020,E12000005,West Midlands,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,,d,0.3,2020,2020,E12000005,West Midlands,other,Other,percentage,Percentage
94.5,,a,1,2020,2020,E12000005,West Midlands,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
29,,d,14,2020,2020,E12000005,West Midlands,other,Other,number,Number
50095,,a,138,2020,2020,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
353,,b,44,2020,2020,K02000001,United Kingdom,other,Other,number,Number
2.6,,a,0.2,2020,2020,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
970,,a,74,2020,2020,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
0.7,,b,0.1,2020,2020,K02000001,United Kingdom,other,Other,percentage,Percentage
1400,,a,89,2020,2020,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
1.3,,b,0.1,2020,2020,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
1.8,,a,0.1,2020,2020,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
682,,b,71,2020,2020,K02000001,United Kingdom,bisexual,Bisexual,number,Number
93.6,,a,0.3,2020,2020,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
89.4,,a,0.9,2020,2020,E12000007,London,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
5.2,,b,0.7,2020,2020,E12000007,London,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
6411,,a,68,2020,2020,E12000007,London,heterosexual-or-straight,Heterosexual or straight,number,Number
123,,c,32,2020,2020,E12000007,London,bisexual,Bisexual,number,Number
58,,c,21,2020,2020,E12000007,London,other,Other,number,Number
2.9,,b,0.5,2020,2020,E12000007,London,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.7,,c,0.4,2020,2020,E12000007,London,bisexual,Bisexual,percentage,Percentage
0.8,,c,0.3,2020,2020,E12000007,London,other,Other,percentage,Percentage
208,,b,35,2020,2020,E12000007,London,gay-or-lesbian,Gay or lesbian,number,Number
374,,b,48,2020,2020,E12000007,London,dont-know-or-refuse,Don't know or refuse,number,Number
1.8,,c,0.6,2020,2020,E12000001,North East,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.7,,d,0.4,2020,2020,E12000001,North East,other,Other,percentage,Percentage
