v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
92.2,,2020,2020,UKC,North East,G,G,cvm,Chained volume measure,aix,Annual index
-7.8,,2020,2020,UKC,North East,G,G,cvm,Chained volume measure,gra,Annual growth rate
88.6,,2020,2020,UKC,North East,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-11.4,,2020,2020,UKC,North East,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
80.5,,2020,2020,UKC,North East,H,H,cvm,Chained volume measure,aix,Annual index
-19.5,,2020,2020,UKC,North East,H,H,cvm,Chained volume measure,gra,Annual growth rate
63.3,,2020,2020,UKC,North East,I,I,cvm,Chained volume measure,aix,Annual index
-36.7,,2020,2020,UKC,North East,I,I,cvm,Chained volume measure,gra,Annual growth rate
104.6,,2020,2020,UKC,North East,J,J,cvm,Chained volume measure,aix,Annual index
4.6,,2020,2020,UKC,North East,J,J,cvm,Chained volume measure,gra,Annual growth rate
88.3,,2020,2020,UKC,North East,K,K,cvm,Chained volume measure,aix,Annual index
-11.7,,2020,2020,UKC,North East,K,K,cvm,Chained volume measure,gra,Annual growth rate
90.9,,2020,2020,UKC,North East,L,L,cvm,Chained volume measure,aix,Annual index
-9.1,,2020,2020,UKC,North East,L,L,cvm,Chained volume measure,gra,Annual growth rate
85.3,,2020,2020,UKC,North East,M,M,cvm,Chained volume measure,aix,Annual index
-14.7,,2020,2020,UKC,North East,M,M,cvm,Chained volume measure,gra,Annual growth rate
96.4,,2020,2020,UKC,North East,N,N,cvm,Chained volume measure,aix,Annual index
-3.6,,2020,2020,UKC,North East,N,N,cvm,Chained volume measure,gra,Annual growth rate
100.2,,2020,2020,UKC,North East,O,O,cvm,Chained volume measure,aix,Annual index
0.2,,2020,2020,UKC,North East,O,O,cvm,Chained volume measure,gra,Annual growth rate
86.8,,2020,2020,UKC,North East,P,P,cvm,Chained volume measure,aix,Annual index
-13.2,,2020,2020,UKC,North East,P,P,cvm,Chained volume measure,gra,Annual growth rate
80,,2020,2020,UKC,North East,Q,Q,cvm,Chained volume measure,aix,Annual index
-20,,2020,2020,UKC,North East,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
71.7,,2020,2020,UKC,North East,R,R,cvm,Chained volume measure,aix,Annual index
-28.3,,2020,2020,UKC,North East,R,R,cvm,Chained volume measure,gra,Annual growth rate
90.6,,2020,2020,UKC,North East,S,S,cvm,Chained volume measure,aix,Annual index
-9.4,,2020,2020,UKC,North East,S,S,cvm,Chained volume measure,gra,Annual growth rate
72.9,,2020,2020,UKC,North East,T,T,cvm,Chained volume measure,aix,Annual index
-27.1,,2020,2020,UKC,North East,T,T,cvm,Chained volume measure,gra,Annual growth rate
101.9,,2020,2020,UKD,North West,A,A,cvm,Chained volume measure,aix,Annual index
1.9,,2020,2020,UKD,North West,A,A,cvm,Chained volume measure,gra,Annual growth rate
93,,2020,2020,UKD,North West,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-7,,2020,2020,UKD,North West,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
103.8,,2020,2020,UKD,North West,B,B,cvm,Chained volume measure,aix,Annual index
3.8,,2020,2020,UKD,North West,B,B,cvm,Chained volume measure,gra,Annual growth rate
98.1,,2020,2020,UKD,North West,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-1.9,,2020,2020,UKD,North West,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
98.5,,2020,2020,UKD,North West,C,C,cvm,Chained volume measure,aix,Annual index
-1.5,,2020,2020,UKD,North West,C,C,cvm,Chained volume measure,gra,Annual growth rate
96.3,,2020,2020,UKD,North West,D,D,cvm,Chained volume measure,aix,Annual index
-3.7,,2020,2020,UKD,North West,D,D,cvm,Chained volume measure,gra,Annual growth rate
94.4,,2020,2020,UKD,North West,E,E,cvm,Chained volume measure,aix,Annual index
-5.6,,2020,2020,UKD,North West,E,E,cvm,Chained volume measure,gra,Annual growth rate
93.8,,2020,2020,UKD,North West,F,F,cvm,Chained volume measure,aix,Annual index
-6.2,,2020,2020,UKD,North West,F,F,cvm,Chained volume measure,gra,Annual growth rate
95.4,,2020,2020,UKD,North West,G,G,cvm,Chained volume measure,aix,Annual index
-4.6,,2020,2020,UKD,North West,G,G,cvm,Chained volume measure,gra,Annual growth rate
91.7,,2020,2020,UKD,North West,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-8.3,,2020,2020,UKD,North West,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
77,,2020,2020,UKD,North West,H,H,cvm,Chained volume measure,aix,Annual index
-23,,2020,2020,UKD,North West,H,H,cvm,Chained volume measure,gra,Annual growth rate
60.7,,2020,2020,UKD,North West,I,I,cvm,Chained volume measure,aix,Annual index
-39.3,,2020,2020,UKD,North West,I,I,cvm,Chained volume measure,gra,Annual growth rate
