v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
5429,a,17,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
45,c,15,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,number,Number
4123,a,43,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
32,c,10,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,number,Number
16,c,5,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
31,c,8,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,other,Other,number,Number
191,b,22,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
2889,a,65,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
91.6,a,1,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,c,0.3,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,percentage,Percentage
1,c,0.2,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,c,0.1,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
3.3,c,1.1,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
148,c,54,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
4130,a,34,2020,2020,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
78,b,15,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
113,c,24,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
177,b,25,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,c,0.2,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
2.5,c,0.5,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.2,d,0.9,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.2,b,0.2,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.6,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
35,c,7,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
108,c,39,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,number,Number
53,d,25,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,number,Number
29,c,8,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,other,Other,number,Number
25,d,10,2020,2020,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,number,Number
69,c,14,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
95.6,a,0.4,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.6,c,0.4,2020,2020,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2,c,0.4,2020,2020,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,percentage,Percentage
24,c,6,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,number,Number
167,b,22,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
159,b,19,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
