V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
58.16,,43.8,72.52,2017-18,2017-18,E07000191,West Somerset,life-satisfaction,Life Satisfaction,good,Good
49.16,,36.23,62.1,2019-20,2019-20,E07000048,Christchurch,life-satisfaction,Life Satisfaction,good,Good
55.78,,51.69,59.86,2018-19,2018-19,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,good,Good
,x,,,2019-20,2019-20,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,poor,Poor
31.63,,23.13,40.13,2011-12,2011-12,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,very-good,Very good
50.24,,45.95,54.52,2012-13,2012-13,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,good,Good
4.01,,2.48,5.54,2014-15,2014-15,S12000024,Perth and Kinross,worthwhile,Worthwhile,poor,Poor
32.83,,29.41,36.25,2012-13,2012-13,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000204,St Edmundsbury,worthwhile,Worthwhile,fair,Fair
34.12,,30.64,37.6,2011-12,2011-12,S12000044,North Lanarkshire,worthwhile,Worthwhile,very-good,Very good
,x,,,2018-19,2018-19,E06000053,Isles of Scilly,worthwhile,Worthwhile,fair,Fair
,x,,,2011-12,2011-12,E07000204,St Edmundsbury,worthwhile,Worthwhile,poor,Poor
,x,,,2016-17,2016-17,E07000206,Waveney,worthwhile,Worthwhile,poor,Poor
,x,,,2018-19,2018-19,E07000201,Forest Heath,worthwhile,Worthwhile,fair,Fair
,x,,,2017-18,2017-18,E07000204,St Edmundsbury,worthwhile,Worthwhile,fair,Fair
35.53,,26.25,44.82,2012-13,2012-13,E07000051,Purbeck,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000206,Waveney,worthwhile,Worthwhile,poor,Poor
42.06,,28.02,56.1,2018-19,2018-19,E07000201,Forest Heath,worthwhile,Worthwhile,very-good,Very good
,x,,,2012-13,2012-13,E07000201,Forest Heath,happiness,Happiness,good,Good
49.36,,0.0,0.0,2011-12,2011-12,S12000024,Perth and Kinross,worthwhile,Worthwhile,good,Good
,x,,,2013-14,2013-14,E07000051,Purbeck,worthwhile,Worthwhile,fair,Fair
,x,,,2012-13,2012-13,E07000190,Taunton Deane,worthwhile,Worthwhile,fair,Fair
,x,,,2013-14,2013-14,E07000190,Taunton Deane,worthwhile,Worthwhile,fair,Fair
14.52,,11.6,17.43,2013-14,2013-14,S12000046,Glasgow City,worthwhile,Worthwhile,fair,Fair
,x,,,2013-14,2013-14,E10000009,Dorset,worthwhile,Worthwhile,poor,Poor
35.22,,31.6,38.85,2013-14,2013-14,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
,x,,,2012-13,2012-13,E07000050,North Dorset,worthwhile,Worthwhile,very-good,Very good
,x,,,2016-17,2016-17,E07000206,Waveney,happiness,Happiness,poor,Poor
,x,,,2015-16,2015-16,E07000206,Waveney,worthwhile,Worthwhile,fair,Fair
32.48,,24.44,40.52,2011-12,2011-12,E07000204,St Edmundsbury,worthwhile,Worthwhile,very-good,Very good
30.44,,0.0,0.0,2011-12,2011-12,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000048,Christchurch,worthwhile,Worthwhile,fair,Fair
,x,,,2012-13,2012-13,E07000053,Weymouth and Portland,worthwhile,Worthwhile,very-good,Very good
,x,,,2017-18,2017-18,S12000044,North Lanarkshire,worthwhile,Worthwhile,poor,Poor
5.51,,3.64,7.38,2017-18,2017-18,S12000046,Glasgow City,worthwhile,Worthwhile,poor,Poor
4.51,,3.07,5.95,2014-15,2014-15,S12000044,North Lanarkshire,worthwhile,Worthwhile,poor,Poor
,x,,,2013-14,2013-14,E07000048,Christchurch,worthwhile,Worthwhile,fair,Fair
53.23,,49.39,57.07,2014-15,2014-15,E06000029,Poole,worthwhile,Worthwhile,good,Good
40.44,,31.26,49.63,2015-16,2015-16,E07000206,Waveney,worthwhile,Worthwhile,very-good,Very good
51.94,,38.39,65.48,2019-20,2019-20,E07000050,North Dorset,worthwhile,Worthwhile,good,Good
35.56,,31.14,39.97,2015-16,2015-16,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
26.70,,23.08,30.28,2014-15,2014-15,E06000028,Bournemouth,worthwhile,Worthwhile,very-good,Very good
40.45,,31.65,49.31,2015-16,2015-16,E07000205,Suffolk Coastal,happiness,Happiness,very-good,Very good
,x,,,2015-16,2015-16,E07000204,St Edmundsbury,worthwhile,Worthwhile,good,Good
,x,,,2019-20,2019-20,E07000204,St Edmundsbury,worthwhile,Worthwhile,poor,Poor
,x,,,2012-13,2012-13,E07000204,St Edmundsbury,worthwhile,Worthwhile,poor,Poor
,x,,,2011-12,2011-12,E07000206,Waveney,worthwhile,Worthwhile,fair,Fair
44.45,,35.74,53.16,2014-15,2014-15,E07000206,Waveney,worthwhile,Worthwhile,good,Good
32.28,,24.55,40.01,2018-19,2018-19,E07000049,East Dorset,happiness,Happiness,good,Good
,x,,,2019-20,2019-20,E07000191,West Somerset,happiness,Happiness,fair,Fair
8.99,,6.59,11.37,2015-16,2015-16,E06000028,Bournemouth,happiness,Happiness,poor,Poor
,x,,,2011-12,2011-12,E07000191,West Somerset,happiness,Happiness,poor,Poor
,x,,,2019-20,2019-20,E07000191,West Somerset,happiness,Happiness,good,Good
,x,,,2014-15,2014-15,E07000053,Weymouth and Portland,happiness,Happiness,fair,Fair
45.88,,33.31,58.46,2019-20,2019-20,E07000048,Christchurch,happiness,Happiness,good,Good
29.59,,20.33,38.85,2014-15,2014-15,E07000050,North Dorset,happiness,Happiness,good,Good
39.11,,28.68,49.54,2011-12,2011-12,E07000051,Purbeck,happiness,Happiness,very-good,Very good
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,happiness,Happiness,fair,Fair
,x,,,2019-20,2019-20,E07000206,Waveney,anxiety,Anxiety,fair,Fair
38.84,,28.85,48.81,2013-14,2013-14,E07000048,Christchurch,happiness,Happiness,good,Good
,x,,,2017-18,2017-18,E07000048,Christchurch,happiness,Happiness,fair,Fair
,x,,,2016-17,2016-17,E07000191,West Somerset,happiness,Happiness,fair,Fair
,x,,,2011-12,2011-12,E06000053,Isles of Scilly,happiness,Happiness,good,Good
,x,,,2013-14,2013-14,E07000049,East Dorset,happiness,Happiness,poor,Poor
,x,,,2017-18,2017-18,E07000204,St Edmundsbury,happiness,Happiness,poor,Poor
18.16,,11.33,24.99,2017-18,2017-18,E07000205,Suffolk Coastal,anxiety,Anxiety,fair,Fair
45.57,,34.04,57.1,2014-15,2014-15,E07000048,Christchurch,happiness,Happiness,good,Good
36.49,,29.13,43.85,2013-14,2013-14,E07000049,East Dorset,happiness,Happiness,very-good,Very good
40.17,,35.75,44.58,2018-19,2018-19,S12000044,North Lanarkshire,happiness,Happiness,good,Good
40.45,,27.68,53.22,2019-20,2019-20,E07000050,North Dorset,happiness,Happiness,very-good,Very good
,x,,,2018-19,2018-19,E07000050,North Dorset,happiness,Happiness,poor,Poor
40.29,,28.59,52.0,2017-18,2017-18,E07000206,Waveney,happiness,Happiness,very-good,Very good
32.21,,23.93,40.49,2014-15,2014-15,E07000206,Waveney,anxiety,Anxiety,very-good,Very good
29.33,,19.6,39.11,2016-17,2016-17,E07000051,Purbeck,happiness,Happiness,good,Good
43.53,,34.04,53.02,2019-20,2019-20,E07000049,East Dorset,happiness,Happiness,good,Good
,x,,,2013-14,2013-14,E07000050,North Dorset,happiness,Happiness,poor,Poor
,x,,,2019-20,2019-20,E06000053,Isles of Scilly,happiness,Happiness,fair,Fair
,x,,,2016-17,2016-17,E07000053,Weymouth and Portland,happiness,Happiness,fair,Fair
28.23,,24.36,32.09,2013-14,2013-14,S12000046,Glasgow City,happiness,Happiness,very-good,Very good
,x,,,2016-17,2016-17,E07000190,Taunton Deane,happiness,Happiness,fair,Fair
39.26,,29.62,48.9,2018-19,2018-19,E07000050,North Dorset,happiness,Happiness,good,Good
47.58,,37.76,57.4,2018-19,2018-19,E07000204,St Edmundsbury,happiness,Happiness,very-good,Very good
,x,,,2017-18,2017-18,E07000049,East Dorset,happiness,Happiness,fair,Fair
43.94,,35.71,52.18,2016-17,2016-17,E07000052,West Dorset,happiness,Happiness,good,Good
10.64,,8.55,12.73,2011-12,2011-12,S12000024,Perth and Kinross,happiness,Happiness,poor,Poor
7.72,,7.59,7.85,2012-13,2012-13,E06000029,Poole,worthwhile,Worthwhile,average-mean,Average (mean)
21.57,,13.55,29.59,2015-16,2015-16,E07000204,St Edmundsbury,anxiety,Anxiety,poor,Poor
7.93,,7.46,8.39,2013-14,2013-14,E07000191,West Somerset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
33.30,,23.13,43.46,2016-17,2016-17,E07000053,Weymouth and Portland,anxiety,Anxiety,good,Good
,x,,,2015-16,2015-16,E07000051,Purbeck,anxiety,Anxiety,good,Good
24.20,,21.0,27.41,2011-12,2011-12,S12000044,North Lanarkshire,anxiety,Anxiety,good,Good
20.03,,12.27,27.78,2019-20,2019-20,E07000190,Taunton Deane,anxiety,Anxiety,good,Good
,x,,,2015-16,2015-16,E07000048,Christchurch,anxiety,Anxiety,fair,Fair
,x,,,2016-17,2016-17,E07000053,Weymouth and Portland,anxiety,Anxiety,fair,Fair
25.81,,18.73,32.88,2014-15,2014-15,E07000049,East Dorset,anxiety,Anxiety,good,Good
,x,,,2012-13,2012-13,E07000201,Forest Heath,anxiety,Anxiety,fair,Fair
22.92,,15.1,30.73,2018-19,2018-19,E07000204,St Edmundsbury,anxiety,Anxiety,good,Good
18.13,,11.48,24.79,2017-18,2017-18,E07000204,St Edmundsbury,anxiety,Anxiety,good,Good
7.97,,7.69,8.24,2012-13,2012-13,E07000050,North Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.74,,7.28,8.2,2019-20,2019-20,E07000206,Waveney,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.69,,7.52,7.87,2016-17,2016-17,S12000015,Fife,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
23.37,,20.06,26.67,2011-12,2011-12,E06000029,Poole,anxiety,Anxiety,good,Good
8.01,,7.63,8.38,2018-19,2018-19,E07000051,Purbeck,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
,x,,,2014-15,2014-15,E07000191,West Somerset,anxiety,Anxiety,fair,Fair
14.59,,11.53,17.64,2018-19,2018-19,S12000044,North Lanarkshire,anxiety,Anxiety,fair,Fair
,x,,,2013-14,2013-14,E07000051,Purbeck,anxiety,Anxiety,poor,Poor
32.26,,20.93,43.58,2018-19,2018-19,E07000053,Weymouth and Portland,anxiety,Anxiety,very-good,Very good
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,anxiety,Anxiety,very-good,Very good
22.61,,16.43,28.79,2013-14,2013-14,E07000052,West Dorset,anxiety,Anxiety,poor,Poor
13.44,,10.65,16.23,2015-16,2015-16,S12000044,North Lanarkshire,anxiety,Anxiety,fair,Fair
45.76,,41.5,50.03,2017-18,2017-18,S12000024,Perth and Kinross,anxiety,Anxiety,very-good,Very good
25.69,,17.86,33.51,2011-12,2011-12,E07000053,Weymouth and Portland,anxiety,Anxiety,good,Good
,x,,,2019-20,2019-20,E07000051,Purbeck,anxiety,Anxiety,good,Good
15.84,,10.25,21.43,2013-14,2013-14,E07000205,Suffolk Coastal,anxiety,Anxiety,poor,Poor
21.63,,14.81,28.45,2013-14,2013-14,E07000204,St Edmundsbury,anxiety,Anxiety,good,Good
8.11,,7.66,8.55,2016-17,2016-17,E07000191,West Somerset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
8.09,,7.81,8.38,2017-18,2017-18,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
8.14,,7.8,8.48,2016-17,2016-17,E07000051,Purbeck,worthwhile,Worthwhile,average-mean,Average (mean)
36.61,,28.57,44.64,2013-14,2013-14,E07000190,Taunton Deane,anxiety,Anxiety,very-good,Very good
,x,,,2012-13,2012-13,E07000191,West Somerset,anxiety,Anxiety,good,Good
7.63,,7.46,7.79,2017-18,2017-18,S12000015,Fife,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
19.86,,16.74,22.98,2014-15,2014-15,S12000044,North Lanarkshire,anxiety,Anxiety,good,Good
,x,,,2017-18,2017-18,E07000053,Weymouth and Portland,anxiety,Anxiety,fair,Fair
,x,,,2019-20,2019-20,E06000053,Isles of Scilly,anxiety,Anxiety,very-good,Very good
46.89,,39.45,54.33,2017-18,2017-18,E07000052,West Dorset,anxiety,Anxiety,very-good,Very good
24.75,,20.83,28.67,2017-18,2017-18,S12000024,Perth and Kinross,anxiety,Anxiety,good,Good
,x,,,2017-18,2017-18,E07000190,Taunton Deane,anxiety,Anxiety,fair,Fair
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,anxiety,Anxiety,fair,Fair
19.08,,13.37,24.78,2015-16,2015-16,E07000205,Suffolk Coastal,anxiety,Anxiety,good,Good
27.40,,23.88,30.92,2016-17,2016-17,E06000029,Poole,anxiety,Anxiety,good,Good
16.0,12.94,19.06,2016-17,2016-17,E06000029,Poole,anxiety,Anxiety,fair,Fair
14.42,,11.87,16.97,2014-15,2014-15,E06000028,Bournemouth,anxiety,Anxiety,poor,Poor
22.17,,16.6,27.75,2012-13,2012-13,E07000049,East Dorset,anxiety,Anxiety,poor,Poor
40.44,,36.78,44.09,2014-15,2014-15,E06000029,Poole,anxiety,Anxiety,very-good,Very good
,x,,,2019-20,2019-20,E07000204,St Edmundsbury,anxiety,Anxiety,poor,Poor
24.87,,17.33,32.42,2011-12,2011-12,E07000204,St Edmundsbury,anxiety,Anxiety,good,Good
17.65,,13.81,21.49,2019-20,2019-20,S12000044,North Lanarkshire,anxiety,Anxiety,fair,Fair
7.61,,7.46,7.76,2011-12,2011-12,S12000044,North Lanarkshire,worthwhile,Worthwhile,average-mean,Average (mean)
40.53,,36.8,44.25,2015-16,2015-16,E06000029,Poole,anxiety,Anxiety,very-good,Very good
17.24,,14.46,20.02,2017-18,2017-18,E06000029,Poole,anxiety,Anxiety,fair,Fair
38.75,,34.66,42.84,2018-19,2018-19,E06000028,Bournemouth,anxiety,Anxiety,very-good,Very good
21.49,,14.31,28.66,2017-18,2017-18,E07000050,North Dorset,anxiety,Anxiety,poor,Poor
7.80,,7.43,8.17,2016-17,2016-17,E07000053,Weymouth and Portland,worthwhile,Worthwhile,average-mean,Average (mean)
2.97,,2.77,3.17,2012-13,2012-13,E06000029,Poole,anxiety,Anxiety,average-mean,Average (mean)
2.30,,1.47,3.14,2016-17,2016-17,E07000191,West Somerset,anxiety,Anxiety,average-mean,Average (mean)
7.85,,7.4,8.31,2016-17,2016-17,E07000051,Purbeck,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.94,,7.83,8.06,2013-14,2013-14,E10000009,Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
8.08,,7.61,8.55,2014-15,2014-15,E07000201,Forest Heath,worthwhile,Worthwhile,average-mean,Average (mean)
7.62,,7.2,8.04,2013-14,2013-14,E07000206,Waveney,happiness,Happiness,average-mean,Average (mean)
,x,,,2014-15,2014-15,E06000053,Isles of Scilly,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
,x,,,2018-19,2018-19,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,poor,Poor
2.50,,2.11,2.89,2018-19,2018-19,E07000052,West Dorset,anxiety,Anxiety,average-mean,Average (mean)
7.23,,7.05,7.41,2019-20,2019-20,S12000046,Glasgow City,happiness,Happiness,average-mean,Average (mean)
7.43,,7.27,7.58,2017-18,2017-18,E06000029,Poole,happiness,Happiness,average-mean,Average (mean)
7.69,,7.27,8.11,2017-18,2017-18,E07000053,Weymouth and Portland,worthwhile,Worthwhile,average-mean,Average (mean)
8.08,,7.81,8.36,2011-12,2011-12,E07000053,Weymouth and Portland,worthwhile,Worthwhile,average-mean,Average (mean)
2.46,,1.82,3.1,2018-19,2018-19,E07000201,Forest Heath,anxiety,Anxiety,average-mean,Average (mean)
7.46,,7.16,7.75,2013-14,2013-14,E07000205,Suffolk Coastal,happiness,Happiness,average-mean,Average (mean)
2.47,,2.0,2.93,2015-16,2015-16,E07000205,Suffolk Coastal,anxiety,Anxiety,average-mean,Average (mean)
7.65,,7.35,7.94,2017-18,2017-18,E07000050,North Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.72,,7.58,7.86,2016-17,2016-17,E06000029,Poole,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
3.24,,2.78,3.69,2012-13,2012-13,E07000190,Taunton Deane,anxiety,Anxiety,average-mean,Average (mean)
7.86,,7.53,8.18,2013-14,2013-14,E07000053,Weymouth and Portland,worthwhile,Worthwhile,average-mean,Average (mean)
7.66,,7.18,8.14,2017-18,2017-18,E07000206,Waveney,happiness,Happiness,average-mean,Average (mean)
7.97,,7.63,8.32,2014-15,2014-15,E07000204,St Edmundsbury,happiness,Happiness,average-mean,Average (mean)
7.83,,7.6,8.06,2012-13,2012-13,E07000052,West Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.55,,7.42,7.69,2011-12,2011-12,E06000029,Poole,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
32.82,,25.23,40.41,2017-18,2017-18,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,very-good,Very good
3.11,,2.71,3.51,2012-13,2012-13,E07000049,East Dorset,anxiety,Anxiety,average-mean,Average (mean)
2.83,,2.61,3.06,2011-12,2011-12,S12000015,Fife,anxiety,Anxiety,average-mean,Average (mean)
8.08,,7.6,8.56,2014-15,2014-15,E07000191,West Somerset,happiness,Happiness,average-mean,Average (mean)
7.39,,7.2,7.58,2014-15,2014-15,S12000015,Fife,happiness,Happiness,average-mean,Average (mean)
2.71,,2.0,3.41,2017-18,2017-18,E07000051,Purbeck,anxiety,Anxiety,average-mean,Average (mean)
7.49,,7.32,7.66,2016-17,2016-17,E06000028,Bournemouth,happiness,Happiness,average-mean,Average (mean)
3.02,,2.54,3.5,2015-16,2015-16,E07000050,North Dorset,anxiety,Anxiety,average-mean,Average (mean)
,x,,,2019-20,2019-20,E07000191,West Somerset,worthwhile,Worthwhile,average-mean,Average (mean)
7.24,,7.05,7.43,2017-18,2017-18,S12000046,Glasgow City,happiness,Happiness,average-mean,Average (mean)
7.70,,7.4,8.01,2013-14,2013-14,E07000190,Taunton Deane,worthwhile,Worthwhile,average-mean,Average (mean)
7.81,,7.52,8.11,2011-12,2011-12,E07000206,Waveney,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2013-14,2013-14,E06000053,Isles of Scilly,worthwhile,Worthwhile,average-mean,Average (mean)
7.81,,7.28,8.34,2012-13,2012-13,E07000201,Forest Heath,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2018-19,2018-19,E06000053,Isles of Scilly,worthwhile,Worthwhile,average-mean,Average (mean)
8.09,,7.74,8.44,2017-18,2017-18,E07000206,Waveney,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.75,8.0,2011-12,2011-12,E06000029,Poole,worthwhile,Worthwhile,average-mean,Average (mean)
7.64,,7.52,7.76,2015-16,2015-16,E06000029,Poole,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
29.06,,21.85,36.29,2013-14,2013-14,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2013-14,2013-14,E07000201,Forest Heath,life-satisfaction,Life Satisfaction,poor,Poor
32.30,,28.66,35.93,2013-14,2013-14,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2019-20,2019-20,E07000051,Purbeck,life-satisfaction,Life Satisfaction,fair,Fair
51.38,,46.63,56.13,2019-20,2019-20,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,good,Good
,x,,,2015-16,2015-16,E07000051,Purbeck,life-satisfaction,Life Satisfaction,good,Good
26.12,,16.48,35.75,2015-16,2015-16,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2014-15,2014-15,E07000049,East Dorset,life-satisfaction,Life Satisfaction,poor,Poor
11.09,,7.97,14.21,2018-19,2018-19,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,fair,Fair
44.92,,34.69,55.14,2012-13,2012-13,E07000051,Purbeck,life-satisfaction,Life Satisfaction,good,Good
4.69,,3.18,6.2,2014-15,2014-15,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,poor,Poor
17.46,,11.29,23.62,2013-14,2013-14,E07000206,Waveney,happiness,Happiness,fair,Fair
27.41,,19.97,34.93,2013-14,2013-14,E07000205,Suffolk Coastal,happiness,Happiness,very-good,Very good
40.05,,26.57,53.53,2015-16,2015-16,E07000201,Forest Heath,happiness,Happiness,very-good,Very good
31.40,,27.88,34.92,2017-18,2017-18,E06000028,Bournemouth,worthwhile,Worthwhile,very-good,Very good
35.13,,31.99,38.26,2011-12,2011-12,E10000009,Dorset,worthwhile,Worthwhile,very-good,Very good
12.14,,7.43,16.84,2011-12,2011-12,E07000052,West Dorset,worthwhile,Worthwhile,fair,Fair
,x,,,2019-20,2019-20,E10000009,Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2016-17,2016-17,E07000050,North Dorset,worthwhile,Worthwhile,fair,Fair
28.99,,25.46,32.52,2012-13,2012-13,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,very-good,Very good
54.55,,49.93,59.17,2019-20,2019-20,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,good,Good
,x,,,2014-15,2014-15,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,poor,Poor
38.32,,29.99,46.65,2018-19,2018-19,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,very-good,Very good
18.20,,15.29,21.11,2012-13,2012-13,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,fair,Fair
48.36,,40.79,55.93,2013-14,2013-14,E07000052,West Dorset,happiness,Happiness,good,Good
,x,,,2016-17,2016-17,E07000049,East Dorset,happiness,Happiness,fair,Fair
34.48,,29.89,39.04,2016-17,2016-17,S12000015,Fife,happiness,Happiness,very-good,Very good
50.48,,41.16,59.72,2013-14,2013-14,E07000205,Suffolk Coastal,happiness,Happiness,good,Good
36.03,,26.44,45.62,2011-12,2011-12,E07000053,Weymouth and Portland,happiness,Happiness,very-good,Very good
,x,,,2014-15,2014-15,E07000050,North Dorset,happiness,Happiness,fair,Fair
40.45,,24.76,56.08,2016-17,2016-17,E07000191,West Somerset,happiness,Happiness,very-good,Very good
11.96,,9.47,14.46,2014-15,2014-15,E06000029,Poole,worthwhile,Worthwhile,fair,Fair
,x,,,2018-19,2018-19,E07000204,St Edmundsbury,worthwhile,Worthwhile,fair,Fair
,x,,,2012-13,2012-13,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
44.74,,36.6,52.92,2016-17,2016-17,E07000052,West Dorset,worthwhile,Worthwhile,good,Good
51.25,,34.81,53.2,2013-14,2013-14,E10000009,Dorset,worthwhile,Worthwhile,good,Good
,x,,,2019-20,2019-20,E06000053,Isles of Scilly,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2013-14,2013-14,E07000053,Weymouth and Portland,happiness,Happiness,very-good,Very good
11.77,,8.82,14.73,2018-19,2018-19,S12000044,North Lanarkshire,happiness,Happiness,poor,Poor
40.11,,31.13,49.1,2018-19,2018-19,E07000049,East Dorset,happiness,Happiness,very-good,Very good
48.18,,38.76,57.54,2016-17,2016-17,E07000050,North Dorset,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000191,West Somerset,happiness,Happiness,good,Good
10.49,,7.96,13.02,2014-15,2014-15,S12000015,Fife,happiness,Happiness,poor,Poor
38.02,,34.55,41.49,2013-14,2013-14,S12000024,Perth and Kinross,happiness,Happiness,good,Good
15.52,,12.85,18.16,2014-15,2014-15,E06000028,Bournemouth,happiness,Happiness,fair,Fair
,x,,,2013-14,2013-14,E07000051,Purbeck,happiness,Happiness,poor,Poor
31.80,,27.78,35.82,2014-15,2014-15,E06000028,Bournemouth,happiness,Happiness,very-good,Very good
32.37,,21.97,42.79,2014-15,2014-15,E07000048,Christchurch,happiness,Happiness,very-good,Very good
,x,,,2014-15,2014-15,E07000201,Forest Heath,happiness,Happiness,very-good,Very good
,x,,,2018-19,2018-19,E07000048,Christchurch,worthwhile,Worthwhile,poor,Poor
57.76,,49.57,65.94,2013-14,2013-14,E07000204,St Edmundsbury,worthwhile,Worthwhile,good,Good
,x,,,2013-14,2013-14,E07000049,East Dorset,worthwhile,Worthwhile,very-good,Very good
44.70,,36.29,53.09,2016-17,2016-17,E07000052,West Dorset,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000048,Christchurch,worthwhile,Worthwhile,very-good,Very good
,x,,,2018-19,2018-19,E07000205,Suffolk Coastal,worthwhile,Worthwhile,poor,Poor
50.75,,40.48,61.02,2017-18,2017-18,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
,x,,,2013-14,2013-14,E07000048,Christchurch,life-satisfaction,Life Satisfaction,poor,Poor
54.01,,41.45,66.57,2019-20,2019-20,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
,x,,,2015-16,2015-16,E07000052,West Dorset,worthwhile,Worthwhile,very-good,Very good
12.74,,10.09,15.38,2015-16,2015-16,E06000029,Poole,worthwhile,Worthwhile,fair,Fair
53.15,,43.8,62.51,2012-13,2012-13,E07000052,West Dorset,worthwhile,Worthwhile,good,Good
11.81,,9.43,14.2,2012-13,2012-13,E10000009,Dorset,worthwhile,Worthwhile,fair,Fair
21.35,,18.26,24.44,2014-15,2014-15,S12000044,North Lanarkshire,anxiety,Anxiety,poor,Poor
7.73,,7.51,7.95,2011-12,2011-12,E07000052,West Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
16.06,,13.24,18.88,2016-17,2016-17,E10000009,Dorset,anxiety,Anxiety,poor,Poor
,x,,,2015-16,2015-16,E07000190,Taunton Deane,anxiety,Anxiety,fair,Fair
18.15,,14.46,21.84,2016-17,2016-17,E06000028,Bournemouth,anxiety,Anxiety,fair,Fair
,x,,,2014-15,2014-15,E07000050,North Dorset,anxiety,Anxiety,poor,Poor
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,anxiety,Anxiety,fair,Fair
41.82,,37.92,45.73,2018-19,2018-19,E10000009,Dorset,anxiety,Anxiety,very-good,Very good
23.33,,16.81,29.85,2014-15,2014-15,E07000205,Suffolk Coastal,anxiety,Anxiety,good,Good
7.37,,7.22,7.52,2011-12,2011-12,S12000046,Glasgow City,worthwhile,Worthwhile,average-mean,Average (mean)
7.80,,7.65,7.95,2015-16,2015-16,S12000044,North Lanarkshire,worthwhile,Worthwhile,average-mean,Average (mean)
7.65,,7.41,7.89,2013-14,2013-14,E07000052,West Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
13.18,,10.38,15.99,2017-18,2017-18,S12000024,Perth and Kinross,anxiety,Anxiety,fair,Fair
7.45,,7.28,7.62,2015-16,2015-16,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.81,,7.5,8.12,2012-13,2012-13,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
41.44,,36.49,46.39,2019-20,2019-20,E06000028,Bournemouth,anxiety,Anxiety,very-good,Very good
15.64,,10.68,20.59,2017-18,2017-18,E07000205,Suffolk Coastal,anxiety,Anxiety,poor,Poor
