V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
44.42,,33.4,55.45,2016-17,2016-17,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,good,Good
,x,,,2012-13,2012-13,E07000206,Waveney,worthwhile,Worthwhile,poor,Poor
14.71,,12.04,17.37,2013-14,2013-14,S12000015,Fife,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2014-15,2014-15,E07000201,Forest Heath,worthwhile,Worthwhile,fair,Fair
,x,,,2016-17,2016-17,E07000201,Forest Heath,worthwhile,Worthwhile,poor,Poor
52.25,,48.36,56.18,2016-17,2016-17,E06000029,Poole,worthwhile,Worthwhile,good,Good
32.97,,21.42,44.52,2017-18,2017-18,E07000048,Christchurch,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2019-20,2019-20,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,fair,Fair
28.26,,21.55,34.97,2012-13,2012-13,E07000049,East Dorset,life-satisfaction,Life Satisfaction,very-good,Very good
50.97,,42.88,59.01,2014-15,2014-15,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,good,Good
,x,,,2019-20,2019-20,E06000053,Isles of Scilly,worthwhile,Worthwhile,very-good,Very good
52.41,,48.12,56.69,2017-18,2017-18,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,good,Good
31.63,,26.17,33.91,2013-14,2013-14,E06000029,Poole,worthwhile,Worthwhile,very-good,Very good
3.35,,2.04,4.66,2016-17,2016-17,E06000029,Poole,worthwhile,Worthwhile,poor,Poor
,x,,,2014-15,2014-15,E07000049,East Dorset,life-satisfaction,Life Satisfaction,fair,Fair
41.85,,33.31,50.38,2011-12,2011-12,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,good,Good
34.09,,25.43,42.83,2015-16,2015-16,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,very-good,Very good
47.86,,39.16,56.73,2016-17,2016-17,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,good,Good
,x,,,2014-15,2014-15,E07000204,St Edmundsbury,worthwhile,Worthwhile,very-good,Very good
32.89,,25.46,29.06,2014-15,2014-15,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2016-17,2016-17,E07000206,Waveney,life-satisfaction,Life Satisfaction,fair,Fair
16.07,,10.14,22.0,2014-15,2014-15,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2018-19,2018-19,E07000206,Waveney,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2016-17,2016-17,E07000052,West Dorset,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2015-16,2015-16,E07000052,West Dorset,life-satisfaction,Life Satisfaction,fair,Fair
22.78,,18.88,26.68,2013-14,2013-14,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,very-good,Very good
18.08,,0.0,0.0,2011-12,2011-12,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,fair,Fair
