FeatureCode,DateCode,Measurement,Units,Value,Tenure
E07000112,Year ending 2019-03-31,Completions,,110,All
E07000112,Year ending 2019-03-31,Completions,,70,All

E07000112,2018 Q4,Completions,,30,All
E07000112,2018 Q4,Completions,,0,All

E07000112,2019 Q1,Completions,,50,Private Enterprise
E07000112,2019 Q1,Completions,,0,Private Enterprise
