FeatureCode,DateCode,Measurement,Units,Value
E01022106,2007,IMD rank,ordinal-position,28267
E01017546,2007,IMD rank,ordinal-position,22655
E01014665,2007,IMD rank,ordinal-position,8896
E01004013,2007,IMD rank,ordinal-position,7149
E01016063,2007,IMD rank,ordinal-position,3476
E01028808,2007,IMD rank,ordinal-position,28414
E01020825,2007,IMD rank,ordinal-position,8980
E01013182,2007,IMD rank,ordinal-position,16626
E01031392,2007,IMD rank,ordinal-position,16218
E01027325,2007,IMD rank,ordinal-position,29244
E01002732,2007,IMD rank,ordinal-position,755
E01031179,2007,IMD rank,ordinal-position,30162
E01002519,2007,IMD rank,ordinal-position,11845
E01009232,2007,IMD rank,ordinal-position,9266
E01011688,2007,IMD rank,ordinal-position,13751
E01009019,2007,IMD rank,ordinal-position,1901
E01001036,2007,IMD rank,ordinal-position,17334
E01032002,2007,IMD rank,ordinal-position,25860
E01012511,2007,IMD rank,ordinal-position,11299
E01024561,2007,IMD rank,ordinal-position,13233
E01007951,2007,IMD rank,ordinal-position,26401
E01030721,2007,IMD rank,ordinal-position,20637
E01024348,2007,IMD rank,ordinal-position,31490
E01007738,2007,IMD rank,ordinal-position,1839
E01019788,2007,IMD rank,ordinal-position,30730
E01030508,2007,IMD rank,ordinal-position,32178
E01006255,2007,IMD rank,ordinal-position,18455
E01029780,2007,IMD rank,ordinal-position,24147
E01029567,2007,IMD rank,ordinal-position,11269
E01021584,2007,IMD rank,ordinal-position,30954
E01004974,2007,IMD rank,ordinal-position,17175
E01028084,2007,IMD rank,ordinal-position,29752
E01003491,2007,IMD rank,ordinal-position,2463
E01003278,2007,IMD rank,ordinal-position,10031
E01017634,2007,IMD rank,ordinal-position,13350
E01000397,2007,IMD rank,ordinal-position,10351
E01014753,2007,IMD rank,ordinal-position,13726
E01004101,2007,IMD rank,ordinal-position,26253
E01016151,2007,IMD rank,ordinal-position,12375
E01020913,2007,IMD rank,ordinal-position,8024
E01013270,2007,IMD rank,ordinal-position,19161
E01001997,2007,IMD rank,ordinal-position,13862
E01031480,2007,IMD rank,ordinal-position,18125
E01013057,2007,IMD rank,ordinal-position,29847
E01027413,2007,IMD rank,ordinal-position,11522
E01008497,2007,IMD rank,ordinal-position,28482
E01002820,2007,IMD rank,ordinal-position,18243
E01031267,2007,IMD rank,ordinal-position,29368
E01002607,2007,IMD rank,ordinal-position,10564
E01009320,2007,IMD rank,ordinal-position,12950
E01011776,2007,IMD rank,ordinal-position,4229
E01009107,2007,IMD rank,ordinal-position,1588
E01001124,2007,IMD rank,ordinal-position,31230
E01025919,2007,IMD rank,ordinal-position,18733
E01010293,2007,IMD rank,ordinal-position,6650
E01024436,2007,IMD rank,ordinal-position,17439
E01007826,2007,IMD rank,ordinal-position,30161
E01019876,2007,IMD rank,ordinal-position,15223
E01006343,2007,IMD rank,ordinal-position,27117
E01018393,2007,IMD rank,ordinal-position,23078
E01015299,2007,IMD rank,ordinal-position,22170
E01029655,2007,IMD rank,ordinal-position,20822
E01021672,2007,IMD rank,ordinal-position,21882
E01019003,2007,IMD rank,ordinal-position,14409
E01028172,2007,IMD rank,ordinal-position,23633
E01021459,2007,IMD rank,ordinal-position,32347
E01004849,2007,IMD rank,ordinal-position,2045
E01016899,2007,IMD rank,ordinal-position,14866
E01003366,2007,IMD rank,ordinal-position,15409
E01017722,2007,IMD rank,ordinal-position,30253
E01000485,2007,IMD rank,ordinal-position,8025
E01026891,2007,IMD rank,ordinal-position,12081
E01014841,2007,IMD rank,ordinal-position,6923
E01017509,2007,IMD rank,ordinal-position,6467
E01014628,2007,IMD rank,ordinal-position,11281
E01026678,2007,IMD rank,ordinal-position,17338
E01016026,2007,IMD rank,ordinal-position,25514
E01027501,2007,IMD rank,ordinal-position,23052
E01013145,2007,IMD rank,ordinal-position,19549
E01025195,2007,IMD rank,ordinal-position,23906
E01008585,2007,IMD rank,ordinal-position,16744
E01031355,2007,IMD rank,ordinal-position,14385
E01011864,2007,IMD rank,ordinal-position,2378
E01001212,2007,IMD rank,ordinal-position,17119
E01010381,2007,IMD rank,ordinal-position,7820
E01010168,2007,IMD rank,ordinal-position,26624
E01024524,2007,IMD rank,ordinal-position,9878
E01007914,2007,IMD rank,ordinal-position,5444
E01019964,2007,IMD rank,ordinal-position,26957
E01023041,2007,IMD rank,ordinal-position,29915
E01006431,2007,IMD rank,ordinal-position,5360
E01018481,2007,IMD rank,ordinal-position,18193
E01006218,2007,IMD rank,ordinal-position,4464
E01018268,2007,IMD rank,ordinal-position,29692
E01015387,2007,IMD rank,ordinal-position,20742
E01029743,2007,IMD rank,ordinal-position,24627
E01021760,2007,IMD rank,ordinal-position,25223
E01028260,2007,IMD rank,ordinal-position,10298
E01021547,2007,IMD rank,ordinal-position,28179
E01004937,2007,IMD rank,ordinal-position,25080
E01016987,2007,IMD rank,ordinal-position,15724
E01028047,2007,IMD rank,ordinal-position,25228
E01020064,2007,IMD rank,ordinal-position,19451
E01003454,2007,IMD rank,ordinal-position,27148
E01017810,2007,IMD rank,ordinal-position,23210
E01000573,2007,IMD rank,ordinal-position,14347
E01014716,2007,IMD rank,ordinal-position,29001
E01026766,2007,IMD rank,ordinal-position,15331
E01016114,2007,IMD rank,ordinal-position,9527
E01013233,2007,IMD rank,ordinal-position,8169
E01025283,2007,IMD rank,ordinal-position,452
E01008673,2007,IMD rank,ordinal-position,21471
E01031443,2007,IMD rank,ordinal-position,9908
E01007190,2007,IMD rank,ordinal-position,31868
E01011952,2007,IMD rank,ordinal-position,3544
E01001300,2007,IMD rank,ordinal-position,23053
E01011739,2007,IMD rank,ordinal-position,3160
E01023789,2007,IMD rank,ordinal-position,16219
E01010256,2007,IMD rank,ordinal-position,17432
E01024612,2007,IMD rank,ordinal-position,6719
E01005696,2007,IMD rank,ordinal-position,10617
E01019839,2007,IMD rank,ordinal-position,28082
E01006306,2007,IMD rank,ordinal-position,2176
E01018356,2007,IMD rank,ordinal-position,16605
E01015475,2007,IMD rank,ordinal-position,7463
E01029831,2007,IMD rank,ordinal-position,11024
E01029618,2007,IMD rank,ordinal-position,25115
E01021635,2007,IMD rank,ordinal-position,24540
E01028135,2007,IMD rank,ordinal-position,29086
E01020152,2007,IMD rank,ordinal-position,18424
E01003542,2007,IMD rank,ordinal-position,3383
E01000661,2007,IMD rank,ordinal-position,4494
E01003329,2007,IMD rank,ordinal-position,8947
E01000448,2007,IMD rank,ordinal-position,31309
E01012498,2007,IMD rank,ordinal-position,10370
E01014804,2007,IMD rank,ordinal-position,17829
E01026854,2007,IMD rank,ordinal-position,5009
E01016202,2007,IMD rank,ordinal-position,29588
E01013321,2007,IMD rank,ordinal-position,22182
E01025371,2007,IMD rank,ordinal-position,7588
E01008761,2007,IMD rank,ordinal-position,19107
E01013108,2007,IMD rank,ordinal-position,30607
E01025158,2007,IMD rank,ordinal-position,28795
E01008548,2007,IMD rank,ordinal-position,30535
E01031531,2007,IMD rank,ordinal-position,30501
E01031318,2007,IMD rank,ordinal-position,30415
E01007065,2007,IMD rank,ordinal-position,16948
E01011827,2007,IMD rank,ordinal-position,21531
E01023877,2007,IMD rank,ordinal-position,12626
E01024700,2007,IMD rank,ordinal-position,17923
E01010344,2007,IMD rank,ordinal-position,4887
E01022394,2007,IMD rank,ordinal-position,23321
E01005784,2007,IMD rank,ordinal-position,24272
E01019927,2007,IMD rank,ordinal-position,12388
E01023004,2007,IMD rank,ordinal-position,27855
E01004088,2007,IMD rank,ordinal-position,4849
E01018444,2007,IMD rank,ordinal-position,18816
E01015563,2007,IMD rank,ordinal-position,32221
E01029706,2007,IMD rank,ordinal-position,26061
E01021723,2007,IMD rank,ordinal-position,21065
E01014080,2007,IMD rank,ordinal-position,16244
E01032290,2007,IMD rank,ordinal-position,26539
E01028223,2007,IMD rank,ordinal-position,4336
E01020240,2007,IMD rank,ordinal-position,19167
E01003630,2007,IMD rank,ordinal-position,3928
E01032077,2007,IMD rank,ordinal-position,29121
E01020027,2007,IMD rank,ordinal-position,15237
E01003417,2007,IMD rank,ordinal-position,21731
E01000536,2007,IMD rank,ordinal-position,18315
E01012586,2007,IMD rank,ordinal-position,3824
E01026942,2007,IMD rank,ordinal-position,28913
E01026729,2007,IMD rank,ordinal-position,12613
E01030796,2007,IMD rank,ordinal-position,31434
E01025246,2007,IMD rank,ordinal-position,3164
E01008636,2007,IMD rank,ordinal-position,9392
E01031406,2007,IMD rank,ordinal-position,18177
E01007153,2007,IMD rank,ordinal-position,12590
E01011915,2007,IMD rank,ordinal-position,7522
E01023965,2007,IMD rank,ordinal-position,30127
E01010432,2007,IMD rank,ordinal-position,13744
E01022482,2007,IMD rank,ordinal-position,17115
E01005872,2007,IMD rank,ordinal-position,9398
E01010219,2007,IMD rank,ordinal-position,22795
E01022269,2007,IMD rank,ordinal-position,19475
E01005659,2007,IMD rank,ordinal-position,3941
E01004176,2007,IMD rank,ordinal-position,20319
E01018532,2007,IMD rank,ordinal-position,15747
E01020988,2007,IMD rank,ordinal-position,20392
E01015651,2007,IMD rank,ordinal-position,19746
E01018319,2007,IMD rank,ordinal-position,14815
E01027488,2007,IMD rank,ordinal-position,20542
E01015438,2007,IMD rank,ordinal-position,19530
E01021811,2007,IMD rank,ordinal-position,10113
E01002895,2007,IMD rank,ordinal-position,19983
E01028311,2007,IMD rank,ordinal-position,4511
E01009395,2007,IMD rank,ordinal-position,4322
E01032165,2007,IMD rank,ordinal-position,31840
E01020115,2007,IMD rank,ordinal-position,15340
E01001199,2007,IMD rank,ordinal-position,11650
E01003505,2007,IMD rank,ordinal-position,3019
E01000624,2007,IMD rank,ordinal-position,14185
E01012674,2007,IMD rank,ordinal-position,162
E01002022,2007,IMD rank,ordinal-position,11241
E01026817,2007,IMD rank,ordinal-position,9377
E01011191,2007,IMD rank,ordinal-position,22233
E01030884,2007,IMD rank,ordinal-position,20529
E01025334,2007,IMD rank,ordinal-position,20238
E01008724,2007,IMD rank,ordinal-position,25851
E01007241,2007,IMD rank,ordinal-position,21101
E01019291,2007,IMD rank,ordinal-position,8199
E01030011,2007,IMD rank,ordinal-position,29650
E01007028,2007,IMD rank,ordinal-position,17973
E01019078,2007,IMD rank,ordinal-position,29691
E01010520,2007,IMD rank,ordinal-position,23493
E01022570,2007,IMD rank,ordinal-position,24988
E01005960,2007,IMD rank,ordinal-position,5375
E01029070,2007,IMD rank,ordinal-position,24060
E01010307,2007,IMD rank,ordinal-position,23750
E01022357,2007,IMD rank,ordinal-position,25683
E01005747,2007,IMD rank,ordinal-position,27291
E01017797,2007,IMD rank,ordinal-position,32449
E01004264,2007,IMD rank,ordinal-position,2821
E01018620,2007,IMD rank,ordinal-position,14372
E01018407,2007,IMD rank,ordinal-position,31588
E01015526,2007,IMD rank,ordinal-position,23001
E01027576,2007,IMD rank,ordinal-position,30738
E01002983,2007,IMD rank,ordinal-position,25595
E01014043,2007,IMD rank,ordinal-position,24488
E01026093,2007,IMD rank,ordinal-position,1096
E01009483,2007,IMD rank,ordinal-position,312
E01020203,2007,IMD rank,ordinal-position,30073
E01001287,2007,IMD rank,ordinal-position,9079
E01032253,2007,IMD rank,ordinal-position,21438
E01000712,2007,IMD rank,ordinal-position,27500
E01012762,2007,IMD rank,ordinal-position,12625
E01002110,2007,IMD rank,ordinal-position,24838
E01026905,2007,IMD rank,ordinal-position,18343
E01012549,2007,IMD rank,ordinal-position,27458
E01024599,2007,IMD rank,ordinal-position,10689
E01007989,2007,IMD rank,ordinal-position,21395
E01030972,2007,IMD rank,ordinal-position,23544
E01011066,2007,IMD rank,ordinal-position,24516
E01030759,2007,IMD rank,ordinal-position,22268
E01025422,2007,IMD rank,ordinal-position,11435
E01008812,2007,IMD rank,ordinal-position,2826
E01025209,2007,IMD rank,ordinal-position,9955
E01007116,2007,IMD rank,ordinal-position,20027
E01019166,2007,IMD rank,ordinal-position,4036
E01023928,2007,IMD rank,ordinal-position,23119
E01022445,2007,IMD rank,ordinal-position,21093
E01005835,2007,IMD rank,ordinal-position,28515
E01017885,2007,IMD rank,ordinal-position,29397
E01004352,2007,IMD rank,ordinal-position,20585
E01004139,2007,IMD rank,ordinal-position,24762
E01016189,2007,IMD rank,ordinal-position,18547
E01015614,2007,IMD rank,ordinal-position,14057
E01027664,2007,IMD rank,ordinal-position,29643
E01017012,2007,IMD rank,ordinal-position,14308
E01002858,2007,IMD rank,ordinal-position,15464
E01014131,2007,IMD rank,ordinal-position,25340
E01026181,2007,IMD rank,ordinal-position,21653
E01009571,2007,IMD rank,ordinal-position,513
E01009358,2007,IMD rank,ordinal-position,75
E01001375,2007,IMD rank,ordinal-position,27256
E01032341,2007,IMD rank,ordinal-position,30881
E01032128,2007,IMD rank,ordinal-position,17453
E01000800,2007,IMD rank,ordinal-position,8165
E01012850,2007,IMD rank,ordinal-position,1425
E01012637,2007,IMD rank,ordinal-position,285
E01024687,2007,IMD rank,ordinal-position,1914
E01030847,2007,IMD rank,ordinal-position,24712
E01011154,2007,IMD rank,ordinal-position,9410
E01025510,2007,IMD rank,ordinal-position,29262
E01006594,2007,IMD rank,ordinal-position,21119
E01008900,2007,IMD rank,ordinal-position,955
E01007204,2007,IMD rank,ordinal-position,213
E01019254,2007,IMD rank,ordinal-position,22744
E01022533,2007,IMD rank,ordinal-position,26992
E01005923,2007,IMD rank,ordinal-position,32164
E01017973,2007,IMD rank,ordinal-position,17099
E01029033,2007,IMD rank,ordinal-position,23483
E01021050,2007,IMD rank,ordinal-position,12051
E01004440,2007,IMD rank,ordinal-position,6443
E01016490,2007,IMD rank,ordinal-position,2862
E01014879,2007,IMD rank,ordinal-position,31780
E01004227,2007,IMD rank,ordinal-position,2891
E01016277,2007,IMD rank,ordinal-position,30228
E01013396,2007,IMD rank,ordinal-position,17641
E01015702,2007,IMD rank,ordinal-position,8277
E01027752,2007,IMD rank,ordinal-position,16910
E01017100,2007,IMD rank,ordinal-position,20876
E01027539,2007,IMD rank,ordinal-position,3754
E01002946,2007,IMD rank,ordinal-position,22240
E01026056,2007,IMD rank,ordinal-position,11365
E01014006,2007,IMD rank,ordinal-position,18770
E01009446,2007,IMD rank,ordinal-position,20140
E01001463,2007,IMD rank,ordinal-position,10690
E01032216,2007,IMD rank,ordinal-position,24801
E01012725,2007,IMD rank,ordinal-position,14445
E01024775,2007,IMD rank,ordinal-position,9063
E01030935,2007,IMD rank,ordinal-position,31891
E01011242,2007,IMD rank,ordinal-position,9229
E01023292,2007,IMD rank,ordinal-position,26250
E01006682,2007,IMD rank,ordinal-position,24071
E01011029,2007,IMD rank,ordinal-position,659
E01023079,2007,IMD rank,ordinal-position,19733
E01006469,2007,IMD rank,ordinal-position,20
E01029994,2007,IMD rank,ordinal-position,1550
E01019342,2007,IMD rank,ordinal-position,25292
E01021798,2007,IMD rank,ordinal-position,26014
E01019129,2007,IMD rank,ordinal-position,21792
E01028298,2007,IMD rank,ordinal-position,19936
E01022621,2007,IMD rank,ordinal-position,16665
E01022408,2007,IMD rank,ordinal-position,26226
E01029121,2007,IMD rank,ordinal-position,22098
E01017848,2007,IMD rank,ordinal-position,32437
E01014967,2007,IMD rank,ordinal-position,32206
E01004315,2007,IMD rank,ordinal-position,2034
E01016365,2007,IMD rank,ordinal-position,20674
E01013484,2007,IMD rank,ordinal-position,987
