FeatureCode,DateCode,Measurement,Units,Value
E01003329,2010,IMD rank,ordinal-position,8630
E01000448,2010,IMD rank,ordinal-position,31871
E01012498,2010,IMD rank,ordinal-position,10919
E01014804,2010,IMD rank,ordinal-position,17926
E01026854,2010,IMD rank,ordinal-position,5913
E01016202,2010,IMD rank,ordinal-position,28871
E01013321,2010,IMD rank,ordinal-position,21415
E01025371,2010,IMD rank,ordinal-position,6280
E01008761,2010,IMD rank,ordinal-position,21934
E01013108,2010,IMD rank,ordinal-position,30927
E01025158,2010,IMD rank,ordinal-position,28954
E01008548,2010,IMD rank,ordinal-position,30784
E01031531,2010,IMD rank,ordinal-position,29411
E01031318,2010,IMD rank,ordinal-position,31383
E01007065,2010,IMD rank,ordinal-position,19239
E01011827,2010,IMD rank,ordinal-position,20106
E01023877,2010,IMD rank,ordinal-position,12055
E01024700,2010,IMD rank,ordinal-position,19098
E01010344,2010,IMD rank,ordinal-position,3807
E01022394,2010,IMD rank,ordinal-position,20653
E01005784,2010,IMD rank,ordinal-position,27993
E01019927,2010,IMD rank,ordinal-position,9378
E01023004,2010,IMD rank,ordinal-position,28307
E01004088,2010,IMD rank,ordinal-position,3663
E01018444,2010,IMD rank,ordinal-position,18012
E01015563,2010,IMD rank,ordinal-position,32344
E01029706,2010,IMD rank,ordinal-position,25660
E01021723,2010,IMD rank,ordinal-position,23936
E01014080,2010,IMD rank,ordinal-position,14608
E01032290,2010,IMD rank,ordinal-position,26240
E01028223,2010,IMD rank,ordinal-position,4245
E01020240,2010,IMD rank,ordinal-position,21866
E01003630,2010,IMD rank,ordinal-position,3999
E01032077,2010,IMD rank,ordinal-position,27305
E01020027,2010,IMD rank,ordinal-position,15049
E01003417,2010,IMD rank,ordinal-position,23765
E01000536,2010,IMD rank,ordinal-position,19719
E01012586,2010,IMD rank,ordinal-position,4439
E01026942,2010,IMD rank,ordinal-position,29068
E01026729,2010,IMD rank,ordinal-position,13232
E01030796,2010,IMD rank,ordinal-position,31340
E01025246,2010,IMD rank,ordinal-position,4232
E01008636,2010,IMD rank,ordinal-position,10312
E01031406,2010,IMD rank,ordinal-position,17052
E01007153,2010,IMD rank,ordinal-position,11706
E01011915,2010,IMD rank,ordinal-position,9095
E01023965,2010,IMD rank,ordinal-position,30935
E01010432,2010,IMD rank,ordinal-position,12856
E01022482,2010,IMD rank,ordinal-position,15053
E01005872,2010,IMD rank,ordinal-position,7855
E01010219,2010,IMD rank,ordinal-position,23441
E01022269,2010,IMD rank,ordinal-position,19475
E01005659,2010,IMD rank,ordinal-position,4775
E01004176,2010,IMD rank,ordinal-position,17489
E01018532,2010,IMD rank,ordinal-position,15361
E01020988,2010,IMD rank,ordinal-position,19849
E01015651,2010,IMD rank,ordinal-position,17694
E01018319,2010,IMD rank,ordinal-position,14639
E01027488,2010,IMD rank,ordinal-position,22669
E01015438,2010,IMD rank,ordinal-position,15912
E01021811,2010,IMD rank,ordinal-position,10937
E01002895,2010,IMD rank,ordinal-position,23956
E01028311,2010,IMD rank,ordinal-position,3168
E01009395,2010,IMD rank,ordinal-position,5691
E01032165,2010,IMD rank,ordinal-position,31968
E01020115,2010,IMD rank,ordinal-position,14398
E01001199,2010,IMD rank,ordinal-position,12636
E01003505,2010,IMD rank,ordinal-position,3616
E01000624,2010,IMD rank,ordinal-position,12911
E01012674,2010,IMD rank,ordinal-position,61
E01002022,2010,IMD rank,ordinal-position,11365
E01026817,2010,IMD rank,ordinal-position,9607
E01011191,2010,IMD rank,ordinal-position,24081
E01030884,2010,IMD rank,ordinal-position,19137
E01025334,2010,IMD rank,ordinal-position,20821
E01008724,2010,IMD rank,ordinal-position,27792
E01007241,2010,IMD rank,ordinal-position,19230
E01019291,2010,IMD rank,ordinal-position,8840
E01030011,2010,IMD rank,ordinal-position,29685
E01007028,2010,IMD rank,ordinal-position,19642
E01019078,2010,IMD rank,ordinal-position,29323
E01010520,2010,IMD rank,ordinal-position,21412
E01022570,2010,IMD rank,ordinal-position,22521
E01005960,2010,IMD rank,ordinal-position,5259
E01029070,2010,IMD rank,ordinal-position,21534
E01010307,2010,IMD rank,ordinal-position,22424
E01022357,2010,IMD rank,ordinal-position,25653
E01005747,2010,IMD rank,ordinal-position,27843
E01017797,2010,IMD rank,ordinal-position,32386
E01004264,2010,IMD rank,ordinal-position,2989
E01018620,2010,IMD rank,ordinal-position,15041
E01018407,2010,IMD rank,ordinal-position,32130
E01015526,2010,IMD rank,ordinal-position,24083
E01027576,2010,IMD rank,ordinal-position,31645
E01002983,2010,IMD rank,ordinal-position,27871
E01014043,2010,IMD rank,ordinal-position,24540
E01026093,2010,IMD rank,ordinal-position,1532
E01009483,2010,IMD rank,ordinal-position,516
E01020203,2010,IMD rank,ordinal-position,30376
E01001287,2010,IMD rank,ordinal-position,7314
E01032253,2010,IMD rank,ordinal-position,21837
E01000712,2010,IMD rank,ordinal-position,24970
E01012762,2010,IMD rank,ordinal-position,14804
E01002110,2010,IMD rank,ordinal-position,24722
E01026905,2010,IMD rank,ordinal-position,17202
E01012549,2010,IMD rank,ordinal-position,24883
E01024599,2010,IMD rank,ordinal-position,8568
E01007989,2010,IMD rank,ordinal-position,23472
E01030972,2010,IMD rank,ordinal-position,20119
E01011066,2010,IMD rank,ordinal-position,26774
E01030759,2010,IMD rank,ordinal-position,20312
E01025422,2010,IMD rank,ordinal-position,11414
E01008812,2010,IMD rank,ordinal-position,5489
E01025209,2010,IMD rank,ordinal-position,10629
E01007116,2010,IMD rank,ordinal-position,21153
E01019166,2010,IMD rank,ordinal-position,4785
E01023928,2010,IMD rank,ordinal-position,26902
E01022445,2010,IMD rank,ordinal-position,22522
E01005835,2010,IMD rank,ordinal-position,28008
E01017885,2010,IMD rank,ordinal-position,28619
E01004352,2010,IMD rank,ordinal-position,17146
E01004139,2010,IMD rank,ordinal-position,21438
E01016189,2010,IMD rank,ordinal-position,18213
E01015614,2010,IMD rank,ordinal-position,14633
E01027664,2010,IMD rank,ordinal-position,29503
E01017012,2010,IMD rank,ordinal-position,15201
E01002858,2010,IMD rank,ordinal-position,13247
E01014131,2010,IMD rank,ordinal-position,23070
E01026181,2010,IMD rank,ordinal-position,26318
E01009571,2010,IMD rank,ordinal-position,433
E01009358,2010,IMD rank,ordinal-position,91
E01001375,2010,IMD rank,ordinal-position,26336
E01032341,2010,IMD rank,ordinal-position,29852
E01032128,2010,IMD rank,ordinal-position,19657
E01000800,2010,IMD rank,ordinal-position,8007
E01012850,2010,IMD rank,ordinal-position,2098
E01012637,2010,IMD rank,ordinal-position,158
E01024687,2010,IMD rank,ordinal-position,2435
E01030847,2010,IMD rank,ordinal-position,21317
E01011154,2010,IMD rank,ordinal-position,9158
E01025510,2010,IMD rank,ordinal-position,31334
E01006594,2010,IMD rank,ordinal-position,24533
E01008900,2010,IMD rank,ordinal-position,1104
E01007204,2010,IMD rank,ordinal-position,231
