FeatureCode,DateCode,Measurement,Units,Value,DCLG Planning Decisions Major and Minor Developmets by Development Type
E06000021,Year ending 2021-03-31,Decisions,application-decisions,5,Gypsy and traveller pitches
E06000021,Year ending 2020-06-30,Decisions,application-decisions,9,Offices research and development / light industry
E06000021,Year ending 2017-06-30,Decisions,application-decisions,8,General industry storage warehousing
E06000021,Year ending 2020-12-31,Decisions,application-decisions,7,Other Major and Minor Developments
E06000021,Year ending 2016-06-30,Decisions,application-decisions,10,Gypsy and traveller pitches
