FeatureCode,DateCode,Measurement,Units,Value
E01007153,2010,IMD score,,23.33
E01011915,2010,IMD score,,28.07
E01023965,2010,IMD score,,4.12
E01010432,2010,IMD score,,21.52
E01022482,2010,IMD score,,18.66
E01005872,2010,IMD score,,30.78
E01010219,2010,IMD score,,10.46
E01022269,2010,IMD score,,13.8
E01005659,2010,IMD score,,39.3
E01004176,2010,IMD score,,15.84
E01018532,2010,IMD score,,18.27
E01020988,2010,IMD score,,13.46
E01015651,2010,IMD score,,15.61
E01018319,2010,IMD score,,19.14
E01027488,2010,IMD score,,11.04
E01015438,2010,IMD score,,17.64
E01021811,2010,IMD score,,24.56
E01002895,2010,IMD score,,10.05
E01028311,2010,IMD score,,45.23
E01009395,2010,IMD score,,36.5
E01032165,2010,IMD score,,2.77
E01020115,2010,IMD score,,19.47
E01001199,2010,IMD score,,21.85
E01003505,2010,IMD score,,43.35
E01000624,2010,IMD score,,21.45
E01012674,2010,IMD score,,76.69
E01002022,2010,IMD score,,23.85
E01026817,2010,IMD score,,27.02
E01011191,2010,IMD score,,9.96
E01030884,2010,IMD score,,14.09
E01025334,2010,IMD score,,12.62
E01008724,2010,IMD score,,7.02
E01007241,2010,IMD score,,14.01
E01019291,2010,IMD score,,28.62
E01030011,2010,IMD score,,5.35
E01007028,2010,IMD score,,13.64
E01019078,2010,IMD score,,5.71
E01010520,2010,IMD score,,12.11
E01022570,2010,IMD score,,11.15
E01005960,2010,IMD score,,37.76
E01029070,2010,IMD score,,12
E01010307,2010,IMD score,,11.25
E01022357,2010,IMD score,,8.75
E01005747,2010,IMD score,,6.98
E01017797,2010,IMD score,,1.69
E01004264,2010,IMD score,,46.04
E01018620,2010,IMD score,,18.66
E01018407,2010,IMD score,,2.46
E01015526,2010,IMD score,,9.96
E01027576,2010,IMD score,,3.25
E01002983,2010,IMD score,,6.96
E01014043,2010,IMD score,,9.61
E01026093,2010,IMD score,,54.1
E01009483,2010,IMD score,,64.21
E01020203,2010,IMD score,,4.69
E01001287,2010,IMD score,,32.07
E01032253,2010,IMD score,,11.75
E01000712,2010,IMD score,,9.29
E01012762,2010,IMD score,,18.95
E01002110,2010,IMD score,,9.47
E01026905,2010,IMD score,,16.17
E01012549,2010,IMD score,,9.36
E01024599,2010,IMD score,,29.17
E01007989,2010,IMD score,,10.43
E01030972,2010,IMD score,,13.23
E01011066,2010,IMD score,,7.85
E01030759,2010,IMD score,,13.07
E01025422,2010,IMD score,,23.79
E01008812,2010,IMD score,,37.1
E01025209,2010,IMD score,,25.08
E01007116,2010,IMD score,,12.31
E01019166,2010,IMD score,,39.28
E01023928,2010,IMD score,,7.74
E01022445,2010,IMD score,,11.15
E01005835,2010,IMD score,,6.85
E01017885,2010,IMD score,,6.32
E01004352,2010,IMD score,,16.24
E01004139,2010,IMD score,,12.09
E01016189,2010,IMD score,,15.04
E01015614,2010,IMD score,,19.16
E01027664,2010,IMD score,,5.53
E01017012,2010,IMD score,,18.47
E01002858,2010,IMD score,,20.99
E01014131,2010,IMD score,,10.72
E01026181,2010,IMD score,,8.22
E01009571,2010,IMD score,,65.57
E01009358,2010,IMD score,,74.6
E01001375,2010,IMD score,,8.21
E01032341,2010,IMD score,,5.19
E01032128,2010,IMD score,,13.62
E01000800,2010,IMD score,,30.44
E01012850,2010,IMD score,,50.48
E01012637,2010,IMD score,,72.32
E01024687,2010,IMD score,,48.72
E01030847,2010,IMD score,,12.19
E01011154,2010,IMD score,,27.93
E01025510,2010,IMD score,,3.63
E01006594,2010,IMD score,,9.62
E01008900,2010,IMD score,,57.47
E01007204,2010,IMD score,,70.23
E01019254,2010,IMD score,,11.24
E01022533,2010,IMD score,,7.19
E01005923,2010,IMD score,,2.27
E01017973,2010,IMD score,,20.51
E01029033,2010,IMD score,,11
E01021050,2010,IMD score,,25.37
E01004440,2010,IMD score,,35.76
E01016490,2010,IMD score,,48.79
E01014879,2010,IMD score,,2.84
E01004227,2010,IMD score,,38.04
E01016277,2010,IMD score,,3.67
E01013396,2010,IMD score,,15.77
E01015702,2010,IMD score,,30.3
E01027752,2010,IMD score,,15.67
E01017100,2010,IMD score,,12.62
E01027539,2010,IMD score,,50.12
E01002946,2010,IMD score,,9.39
E01026056,2010,IMD score,,26.93
E01014006,2010,IMD score,,13.61
E01009446,2010,IMD score,,14.48
E01001463,2010,IMD score,,21.5
E01032216,2010,IMD score,,10.13
E01012725,2010,IMD score,,20.52
E01024775,2010,IMD score,,31.5
E01030935,2010,IMD score,,3.71
E01011242,2010,IMD score,,31.03
E01023292,2010,IMD score,,5.41
E01006682,2010,IMD score,,7.17
E01011029,2010,IMD score,,64.78
E01023079,2010,IMD score,,13.42
E01006469,2010,IMD score,,76.84
E01029994,2010,IMD score,,57.13
E01019342,2010,IMD score,,7.71
E01021798,2010,IMD score,,6.77
E01019129,2010,IMD score,,10.82
E01028298,2010,IMD score,,14.31
E01022621,2010,IMD score,,19.5
E01022408,2010,IMD score,,7.42
E01029121,2010,IMD score,,12.24
E01017848,2010,IMD score,,2.92
E01014967,2010,IMD score,,2.57
E01004315,2010,IMD score,,50.44
E01016365,2010,IMD score,,15.55
E01013484,2010,IMD score,,49.36
E01027840,2010,IMD score,,25.26
E01027627,2010,IMD score,,10.35
E01031694,2010,IMD score,,6.25
E01026144,2010,IMD score,,21.22
E01009534,2010,IMD score,,33.53
E01001551,2010,IMD score,,40.49
E01001338,2010,IMD score,,34.8
E01032304,2010,IMD score,,45.2
E01008051,2010,IMD score,,19.53
E01012813,2010,IMD score,,8.64
E01024863,2010,IMD score,,41.26
E01011330,2010,IMD score,,28.16
E01023380,2010,IMD score,,3.88
E01006770,2010,IMD score,,53.56
E01011117,2010,IMD score,,6.17
E01023167,2010,IMD score,,8.84
E01006557,2010,IMD score,,28.66
E01005074,2010,IMD score,,45.18
E01019430,2010,IMD score,,9.34
E01029869,2010,IMD score,,16.84
