FeatureCode,DateCode,Measurement,Units,Value,Tenure
E07000193,Year ending 2022-09-30,Completions,building-completions,700,Private Enterprise
E07000193,2022 Q3,Completions,building-completions,170,Private Enterprise
E07000193,Year ending 2022-09-30,Completions,building-completions,740,All
E07000193,2022 Q3,Completions,building-completions,180,All
E07000193,Year ending 2022-03-31,Completions,building-completions,770,All
E07000193,2022 Q1,Completions,building-completions,170,All
E07000193,2022 Q2,Completions,building-completions,190,All
E07000193,Year ending 2022-06-30,Completions,building-completions,740,All
E07000197,Year ending 2022-03-31,Completions,building-completions,230,Housing Association
E07000197,2022 Q1,Completions,building-completions,20,Housing Association
E07000197,2022 Q3,Completions,building-completions,30,Housing Association
E07000197,Year ending 2022-09-30,Completions,building-completions,200,Housing Association
E07000197,Year ending 2022-06-30,Completions,building-completions,190,Housing Association
E07000197,2022 Q2,Completions,building-completions,10,Housing Association
E07000197,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000197,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000197,2022 Q3,Completions,building-completions,0,Local Authority
E07000197,2022 Q2,Completions,building-completions,0,Local Authority
E07000197,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000197,2022 Q1,Completions,building-completions,0,Local Authority
E07000197,2022 Q1,Completions,building-completions,70,Private Enterprise
E07000197,Year ending 2022-03-31,Completions,building-completions,380,Private Enterprise
E07000197,2022 Q2,Completions,building-completions,110,Private Enterprise
E07000197,Year ending 2022-06-30,Completions,building-completions,380,Private Enterprise
E07000197,2022 Q3,Completions,building-completions,110,Private Enterprise
E07000197,Year ending 2022-09-30,Completions,building-completions,400,Private Enterprise
E07000197,2022 Q3,Completions,building-completions,140,All
E07000197,Year ending 2022-09-30,Completions,building-completions,590,All
E07000197,2022 Q1,Completions,building-completions,90,All
E07000197,Year ending 2022-03-31,Completions,building-completions,610,All
E07000197,Year ending 2022-06-30,Completions,building-completions,570,All
E07000197,2022 Q2,Completions,building-completions,120,All
E07000035,2022 Q1,Completions,building-completions,0,Housing Association
E07000035,Year ending 2022-03-31,Completions,building-completions,20,Housing Association
E07000035,2022 Q3,Completions,building-completions,0,Housing Association
E07000035,Year ending 2022-09-30,Completions,building-completions,10,Housing Association
E07000035,2022 Q2,Completions,building-completions,10,Housing Association
E07000035,Year ending 2022-06-30,Completions,building-completions,20,Housing Association
E07000035,2022 Q2,Completions,building-completions,0,Local Authority
E07000035,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000035,2022 Q3,Completions,building-completions,0,Local Authority
E07000035,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
