FeatureCode,DateCode,Measurement,Units,Value
E01022106,2007,IMD score,,6.48
E01017546,2007,IMD score,,10.91
E01014665,2007,IMD score,,28.44
E01004013,2007,IMD score,,32.57
E01016063,2007,IMD score,,44.43
E01028808,2007,IMD score,,6.35
E01020825,2007,IMD score,,28.25
E01013182,2007,IMD score,,16.68
E01031392,2007,IMD score,,17.12
E01027325,2007,IMD score,,5.63
E01002732,2007,IMD score,,61.57
E01031179,2007,IMD score,,4.74
E01002519,2007,IMD score,,22.95
E01009232,2007,IMD score,,27.59
E01011688,2007,IMD score,,20.21
E01009019,2007,IMD score,,52.21
E01001036,2007,IMD score,,15.91
E01032002,2007,IMD score,,8.42
E01012511,2007,IMD score,,23.82
E01024561,2007,IMD score,,20.86
E01007951,2007,IMD score,,7.98
E01030721,2007,IMD score,,12.65
E01024348,2007,IMD score,,3.29
E01007738,2007,IMD score,,52.61
E01019788,2007,IMD score,,4.2
E01030508,2007,IMD score,,2.2
E01006255,2007,IMD score,,14.73
E01029780,2007,IMD score,,9.75
E01029567,2007,IMD score,,23.86
E01021584,2007,IMD score,,3.95
E01004974,2007,IMD score,,16.09
E01028084,2007,IMD score,,5.16
E01003491,2007,IMD score,,49.2
E01003278,2007,IMD score,,26.02
E01017634,2007,IMD score,,20.69
E01000397,2007,IMD score,,25.42
E01014753,2007,IMD score,,20.24
E01004101,2007,IMD score,,8.1
E01016151,2007,IMD score,,22.14
E01020913,2007,IMD score,,30.38
E01013270,2007,IMD score,,14.06
E01001997,2007,IMD score,,20.08
E01031480,2007,IMD score,,15.09
E01013057,2007,IMD score,,5.06
E01027413,2007,IMD score,,23.46
E01008497,2007,IMD score,,6.3
E01002820,2007,IMD score,,14.97
E01031267,2007,IMD score,,5.53
E01002607,2007,IMD score,,25.07
E01009320,2007,IMD score,,21.3
E01011776,2007,IMD score,,41.66
E01009107,2007,IMD score,,54.21
E01001124,2007,IMD score,,3.64
E01025919,2007,IMD score,,14.44
E01010293,2007,IMD score,,33.94
E01024436,2007,IMD score,,15.79
E01007826,2007,IMD score,,4.74
E01019876,2007,IMD score,,18.36
E01006343,2007,IMD score,,7.43
E01018393,2007,IMD score,,10.57
E01015299,2007,IMD score,,11.28
E01029655,2007,IMD score,,12.49
E01021672,2007,IMD score,,11.55
E01019003,2007,IMD score,,19.4
E01028172,2007,IMD score,,10.14
E01021459,2007,IMD score,,1.72
E01004849,2007,IMD score,,51.37
E01016899,2007,IMD score,,18.8
E01003366,2007,IMD score,,18.12
E01017722,2007,IMD score,,4.64
E01000485,2007,IMD score,,30.38
E01026891,2007,IMD score,,22.59
E01014841,2007,IMD score,,33.17
E01017509,2007,IMD score,,34.5
E01014628,2007,IMD score,,23.85
E01026678,2007,IMD score,,15.9
E01016026,2007,IMD score,,8.69
E01027501,2007,IMD score,,10.6
E01013145,2007,IMD score,,13.68
E01025195,2007,IMD score,,9.94
E01008585,2007,IMD score,,16.55
E01031355,2007,IMD score,,19.44
E01011864,2007,IMD score,,49.68
E01001212,2007,IMD score,,16.16
E01010381,2007,IMD score,,30.9
E01010168,2007,IMD score,,7.81
E01024524,2007,IMD score,,26.37
E01007914,2007,IMD score,,37.35
E01019964,2007,IMD score,,7.54
E01023041,2007,IMD score,,4.99
E01006431,2007,IMD score,,37.65
E01018481,2007,IMD score,,15.03
E01006218,2007,IMD score,,40.72
E01018268,2007,IMD score,,5.22
E01015387,2007,IMD score,,12.56
E01029743,2007,IMD score,,9.41
E01021760,2007,IMD score,,8.93
E01028260,2007,IMD score,,25.52
E01021547,2007,IMD score,,6.55
E01004937,2007,IMD score,,9.04
E01016987,2007,IMD score,,17.74
E01028047,2007,IMD score,,8.92
E01020064,2007,IMD score,,13.78
E01003454,2007,IMD score,,7.4
E01017810,2007,IMD score,,10.48
E01000573,2007,IMD score,,19.47
E01014716,2007,IMD score,,5.83
E01026766,2007,IMD score,,18.23
E01016114,2007,IMD score,,27.08
E01013233,2007,IMD score,,30.02
E01025283,2007,IMD score,,65.52
E01008673,2007,IMD score,,11.92
E01031443,2007,IMD score,,26.29
E01007190,2007,IMD score,,2.79
E01011952,2007,IMD score,,44.2
E01001300,2007,IMD score,,10.6
E01011739,2007,IMD score,,45.76
E01023789,2007,IMD score,,17.12
E01010256,2007,IMD score,,15.79
E01024612,2007,IMD score,,33.71
E01005696,2007,IMD score,,24.98
E01019839,2007,IMD score,,6.64
E01006306,2007,IMD score,,50.67
E01018356,2007,IMD score,,16.71
E01015475,2007,IMD score,,31.79
E01029831,2007,IMD score,,24.3
E01029618,2007,IMD score,,9.02
E01021635,2007,IMD score,,9.46
E01028135,2007,IMD score,,5.76
E01020152,2007,IMD score,,14.77
E01003542,2007,IMD score,,44.77
E01000661,2007,IMD score,,40.63
E01003329,2007,IMD score,,28.33
E01000448,2007,IMD score,,3.54
E01012498,2007,IMD score,,25.4
E01014804,2007,IMD score,,15.39
E01026854,2007,IMD score,,38.86
E01016202,2007,IMD score,,5.32
E01013321,2007,IMD score,,11.28
E01025371,2007,IMD score,,31.48
E01008761,2007,IMD score,,14.12
E01013108,2007,IMD score,,4.32
E01025158,2007,IMD score,,6.02
E01008548,2007,IMD score,,4.38
E01031531,2007,IMD score,,4.41
E01031318,2007,IMD score,,4.5
E01007065,2007,IMD score,,16.35
E01011827,2007,IMD score,,11.87
E01023877,2007,IMD score,,21.76
E01024700,2007,IMD score,,15.29
E01010344,2007,IMD score,,39.21
E01022394,2007,IMD score,,10.39
E01005784,2007,IMD score,,9.66
E01019927,2007,IMD score,,22.13
E01023004,2007,IMD score,,6.83
E01004088,2007,IMD score,,39.34
E01018444,2007,IMD score,,14.37
E01015563,2007,IMD score,,2.09
E01029706,2007,IMD score,,8.26
E01021723,2007,IMD score,,12.29
E01014080,2007,IMD score,,17.08
E01032290,2007,IMD score,,7.88
E01028223,2007,IMD score,,41.26
E01020240,2007,IMD score,,14.06
E01003630,2007,IMD score,,42.76
E01032077,2007,IMD score,,5.73
E01020027,2007,IMD score,,18.35
E01003417,2007,IMD score,,11.68
E01000536,2007,IMD score,,14.89
E01012586,2007,IMD score,,43.14
E01026942,2007,IMD score,,5.9
E01026729,2007,IMD score,,21.77
E01030796,2007,IMD score,,3.35
E01025246,2007,IMD score,,45.75
E01008636,2007,IMD score,,27.35
E01031406,2007,IMD score,,15.04
E01007153,2007,IMD score,,21.8
E01011915,2007,IMD score,,31.67
E01023965,2007,IMD score,,4.79
E01010432,2007,IMD score,,20.22
E01022482,2007,IMD score,,16.16
E01005872,2007,IMD score,,27.34
E01010219,2007,IMD score,,10.8
E01022269,2007,IMD score,,13.75
E01005659,2007,IMD score,,42.73
E01004176,2007,IMD score,,12.96
E01018532,2007,IMD score,,17.71
E01020988,2007,IMD score,,12.9
E01015651,2007,IMD score,,13.48
E01018319,2007,IMD score,,18.87
E01027488,2007,IMD score,,12.75
E01015438,2007,IMD score,,13.69
E01021811,2007,IMD score,,25.87
E01002895,2007,IMD score,,13.27
E01028311,2007,IMD score,,40.59
E01009395,2007,IMD score,,41.33
E01032165,2007,IMD score,,2.82
E01020115,2007,IMD score,,18.22
E01001199,2007,IMD score,,23.27
E01003505,2007,IMD score,,46.31
E01000624,2007,IMD score,,19.64
E01012674,2007,IMD score,,72.2
E01002022,2007,IMD score,,23.89
E01026817,2007,IMD score,,27.38
E01011191,2007,IMD score,,11.24
E01030884,2007,IMD score,,12.76
E01025334,2007,IMD score,,13.04
E01008724,2007,IMD score,,8.43
E01007241,2007,IMD score,,12.25
E01019291,2007,IMD score,,29.99
E01030011,2007,IMD score,,5.27
E01007028,2007,IMD score,,15.23
E01019078,2007,IMD score,,5.22
E01010520,2007,IMD score,,10.26
E01022570,2007,IMD score,,9.11
E01005960,2007,IMD score,,37.59
E01029070,2007,IMD score,,9.81
E01010307,2007,IMD score,,10.06
E01022357,2007,IMD score,,8.56
E01005747,2007,IMD score,,7.29
E01017797,2007,IMD score,,1.2
E01004264,2007,IMD score,,47.27
E01018620,2007,IMD score,,19.45
E01018407,2007,IMD score,,3.16
E01015526,2007,IMD score,,10.64
E01027576,2007,IMD score,,4.19
E01002983,2007,IMD score,,8.62
E01014043,2007,IMD score,,9.5
E01026093,2007,IMD score,,58.17
E01009483,2007,IMD score,,68.32
E01020203,2007,IMD score,,4.85
E01001287,2007,IMD score,,28.04
E01032253,2007,IMD score,,11.95
E01000712,2007,IMD score,,7.11
E01012762,2007,IMD score,,21.76
E01002110,2007,IMD score,,9.23
E01026905,2007,IMD score,,14.84
E01012549,2007,IMD score,,7.15
E01024599,2007,IMD score,,24.86
E01007989,2007,IMD score,,11.99
E01030972,2007,IMD score,,10.21
E01011066,2007,IMD score,,9.47
E01030759,2007,IMD score,,11.21
